cui,term,semtype,class
C0032105,Plasma,bdsu,biological
C0036690,Septicemia,dsyn,clinical
C4289789,Cell Free DNA,"bacs,nnon",biological
C0011900,Diagnosis,diap,clinical
C0205115,Afferent,spco,location
C0376545,Hematologic Neoplasms,neop,biological
C1136254,Microbicides,phsu,biological
C3714514,Infection,patf,clinical
C1457887,Symptoms,sosy,clinical
C0343401,MRSA   Methicillin resistant Staphylococcus aureus infection,dsyn,clinical
C0018155,Gram Positive Cocci,bact,pathogen
C0010280,Craniotomy,topp,clinical
C0027651,Neoplasms,neop,biological
C1868801,Hyperthermic Intraperitoneal Chemotherapy,topp,clinical
C1708747,Low grade appendiceal mucinous neoplasm,neop,biological
C0019994,Hospitals,"hcro,mnob",clinical
C0004610,Bacteremia,dsyn,clinical
C0543467,Operative Surgical Procedures,topp,clinical
C0011065,Cessation of life,orgf,biological
C0458578,Upper respiratory tract,bpoc,location
C0014121,Bacterial Endocarditis,dsyn,clinical
C0015967,Fever,sosy,clinical
C0031256,Petechiae,dsyn,clinical
C0161930,Operation on ovary,topp,clinical
C0686619,Secondary malignant neoplasm of lymph node,neop,biological
C0014871,Esophagogastric Junction,bsoj,location
C0041618,Ultrasonography,diap,clinical
C0026724,Mucous Membrane,tisu,biological
C0006837,Candida albicans,fngs,pathogen
C0877445,Candidemia,dsyn,clinical
C0024299,Lymphoma,neop,biological
C3152857,Prevail,"orch,phsu",biological
C0085669,Acute leukemia,neop,biological
C0204727,Isolation procedure,topp,clinical
C1268551,Echinocandins,phsu,biological
C0033572,Prostate,bpoc,location
C0237795,Pressors,phsu,biological
C0042749,Viremia,dsyn,clinical
C0280274,Antiviral Therapy,topp,clinical
C1175175,Severe Acute Respiratory Syndrome,dsyn,clinical
C0009488,Comorbidity,fndg,clinical
C1373218,Decreased Immunologic Activity  PE ,patf,clinical
C0206277,Fatal Outcome,patf,clinical
C0008631,Chromosome Markers,comd,biological
C0149778,Soft Tissue Infections,dsyn,clinical
C0729555,Infection of digestive system,dsyn,clinical
C0030705,Patients,"podg,humn",clinical
C0024291,Lymphohistiocytosis  Hemophagocytic,dsyn,clinical
C0280100,Solid Neoplasm,neop,biological
C0013216,Pharmacotherapy,topp,clinical
C0023530,Leukopenia,dsyn,clinical
C4330729,Myelosuppressive Chemotherapy,topp,clinical
C0023467,Leukemia  Myelocytic  Acute,neop,biological
C0003232,Antibiotics,antb,biological
C0223084,Body of vertebra,bpoc,location
C1261322,Evaluation procedure,hlca,clinical
C0006826,Malignant Neoplasms,neop,biological
C0009450,Communicable Diseases,dsyn,clinical
C0599755,Cohort,"popg,humn",clinical
C1306459,Primary malignant neoplasm,neop,biological
C0023449,Acute lymphocytic leukemia,neop,biological
C0006819,Campylobacter jejuni,bact,pathogen
C1299586,Has difficulty doing  qualifier value ,fndg,clinical
C0008809,Ciprofloxacin,"orch,phsu",biological
C0039644,Tetracycline,"antb,orch",biological
C0019144,Hepatectomy,topp,clinical
C0032787,Postoperative Complications,patf,clinical
C2744535,CD69 protein  human,"aapp,gngm,imft",biological
C0150312,Present,fndg,clinical
C0277599,Postoperative death,fndg,clinical
C0297981,RIPK1 protein  human,"aapp,gngm,enzy",biological
C0255808,tumor necrosis factor receptor 1A,"aapp,gngm,rcpt",biological
C1335623,RIPK1 gene,"gngm,aapp",biological
C1514758,Receptor Activation Process,celf,biological
C0039082,Syndrome,dsyn,clinical
C1516213,Cancer Patient,"podg,humn",clinical
