pmid,cui
33002409,C0032105
33002409,C0036690
33002409,C4289789
33002409,C0011900
32943639,C0205115
32942819,C0376545
32942819,C1136254
32942819,C3714514
32942819,C1457887
32942819,C0343401
32942819,C0018155
32941422,C0010280
32941422,C0027651
32899075,C1868801
32899075,C1708747
32841136,C3714514
32841136,C0019994
32841136,C0004610
32841136,C0543467
32841136,C0011065
32831055,C0004610
32831055,C0458578
32831055,C0014121
32831055,C0015967
32831055,C0031256
32831055,C3714514
32831055,C0161930
32831055,C0686619
32831055,C0014871
32831055,C0041618
32831055,C0026724
32732845,C0011065
32732845,NA
32598758,C0006837
32598758,C0376545
32598758,C1457887
32598758,C0877445
32598758,C0024299
32598758,C3152857
32598758,C0085669
32598758,C0204727
32598758,C1268551
32590686,C0033572
32590686,C0237795
32570301,C0042749
32570301,C0280274
32557623,C1175175
32557623,C0009488
32557623,C1373218
32557623,C0206277
32530394,C0376545
32530394,C0008631
32530394,C0004610
32521960,C0036690
32521960,C0149778
32521960,C0729555
32521960,C0030705
32521960,C0024291
32521960,C0280100
32521960,C0376545
32497520,C0013216
32497520,C0023530
32497520,C0015967
32497520,C0011900
32497520,C4330729
32497520,C0023467
32398394,C0003232
32398394,C0223084
32358337,C1261322
32332684,C0004610
32332684,C0006826
32332684,C0009450
32332684,C0599755
32332684,C1306459
32311186,C0036690
32311177,C0036690
32310303,C0004610
32310303,C0023449
32310303,C0006819
32310303,C0013216
32310303,C0376545
32310303,C1299586
32310303,C0008809
32310303,C0039644
32303347,C0019144
32303347,C0032787
32303347,C2744535
32303347,C0150312
32303347,C0277599
32269263,C0297981
32269263,C0255808
32269263,C1335623
32269263,C1514758
32233862,C0006826
32188401,C0027651
32188401,C3714514
32163691,C0036690
32163691,C0039082
32163691,C1516213
32163691,C0002873
32163691,NA
32163691,C0014819
32085740,C0036690
32085740,C0006826
32085740,C0445623
32085740,C0445625
32085740,C0007561
32085740,C1764827
32081411,C0007113
32081411,C2744535
32081411,C1515089
32081411,C0009566
32081411,C0012634
32069257,C0004623
32069257,C0376545
32069257,C2744535
32069257,C0001699
32069257,NA
32069257,C3714514
32069257,C0035648
32069257,C3272283
32062742,C1328050
32062742,C1504389
32062742,C0184661
32062742,C0018704
32062742,C3714514
32062742,C0015967
32062742,C0040808
32058993,C0004610
32058993,C0035648
