cui_1,relship,cui_2
C0032105,LOCATION_OF,C4289789
C0032105,PART_OF,C0030705
C0036690,PROCESS_OF,C0030705
C4289789,PART_OF,C0445623
C0036690,ISA,C0012634
C0011900,DIAGNOSES,C0036690
C0032105,LOCATION_OF,C0012854
C0205115,LOCATION_OF,C0031307
C0376545,PROCESS_OF,C0008059
C0376545,PROCESS_OF,C0030705
C1136254,TREATS,C0030705
C3714514,OCCURS_IN,C0008059
C1457887,PROCESS_OF,C0030705
C0343401,PROCESS_OF,C0038172
C0018155,ISA,C0004611
C0010280,METHOD_OF,C0749736
C0010280,TREATS,C0027651
C0010280,TREATS,C0030705
C0010280,TREATS,C0599755
C0010280,TREATS(INFER),C0027651
C0027651,PROCESS_OF,C0599755
C1868801,USES,C0009653
C1708747,PROCESS_OF,C0030705
C3714514,PROCESS_OF,C1516213
C0019994,LOCATION_OF,C0035363
C3714514,OCCURS_IN,C0030705
C0004610,OCCURS_IN,C0030705
C0543467,PREDISPOSES,C3714514
C0011065,OCCURS_IN,C4028326
C0004610,PROCESS_OF,C0317895
C0458578,PART_OF,C0030705
C0004610,PROCESS_OF,C0025266
C0014121,PROCESS_OF,C0025266
C0015967,PROCESS_OF,C0008059
C0031256,PROCESS_OF,C0008059
C0004610,PROCESS_OF,C1516213
C0161930,TREATS,C0043210
C0686619,AFFECTS,C0043210
C0014871,LOCATION_OF,C0006826
C0015967,PROCESS_OF,C0043210
C0041618,DIAGNOSES,C1285498
C0026724,LOCATION_OF,C3203359
C0011065,PROCESS_OF,C0021562
C0011065,PROCESS_OF,C0030705
NA,NA,NA
C0006837,CAUSES,C0877445
C0877445,PROCESS_OF,C0030705
C0877445,COEXISTS_WITH,C1457887
C0006837,LOCATION_OF,C3152857
C0024299,PROCESS_OF,C0030705
C3152857,CAUSES,C0877445
C3152857,TREATS,C0030705
C0085669,PROCESS_OF,C0030705
C0204727,TREATS,C0030705
C0204727,TREATS,C1709854
C0204727,TREATS(INFER),C0085669
C1268551,compared_with,C0003308
C0033572,LOCATION_OF,C0005558
C0237795,CAUSES,C1304451
C0042749,PROCESS_OF,C0030705
C0280274,TREATS,C0030705
C0280274,TREATS(INFER),C0042749
C1175175,CAUSES,C0032285
C0009488,PROCESS_OF,C0030705
C1373218,AFFECTS,C0242656
C0206277,PROCESS_OF,C0030705
C0008631,PROCESS_OF,C0030705
C0004610,PROCESS_OF,C0030705
C0036690,PROCESS_OF,C0008059
C0149778,PROCESS_OF,C0030705
C0729555,COEXISTS_WITH,C0036690
C0030705,LOCATION_OF,C0019046
C0030705,LOCATION_OF,C0085295
C0024291,PROCESS_OF,C0008059
C0280100,PROCESS_OF,C0008059
C0013216,TREATS,C0006826
C0013216,TREATS,C0023530
C0023530,PROCESS_OF,C0008059
C0015967,ASSOCIATED_WITH,C0023530
C0011900,DIAGNOSES,C0023530
C4330729,TREATS,C0006826
C0023467,PROCESS_OF,C0030705
C0003232,TREATS,C0015967
C0003232,TREATS,C0021368
C0223084,LOCATION_OF,C0221198
C1261322,TREATS,C0949366
C1261322,USES,C0041618
C0004610,PRECEDES,C1306459
C0004610,PROCESS_OF,C0038172
C0006826,CAUSES,C0021051
C0009450,PREDISPOSES,C0021051
C0006826,OCCURS_IN,C0599755
C0599755,ISA,C1257890
C1306459,PROCESS_OF,C0599755
C0036690,COEXISTS_WITH,C0006826
C0004610,PROCESS_OF,C0006819
C0023449,PROCESS_OF,C0030705
C0006819,CAUSES,C3714514
C0013216,TREATS,C0376545
C1299586,PROCESS_OF,C0030705
C0008809,NEG_AFFECTS,C3641827
C0039644,NEG_AFFECTS,C3641827
C0019144,TREATS,C0030705
C0019144,TREATS(INFER),C0032787
C0032787,PROCESS_OF,C0030705
C2744535,PREDISPOSES,C0032787
C0150312,COEXISTS_WITH,C0008311
C0150312,COEXISTS_WITH,C0032787
C0150312,PREDISPOSES,C0277599
C0150312,COEXISTS_WITH,C0015376
C0150312,COEXISTS_WITH,C0030290
C0150312,PREDISPOSES,C0032787
C0277599,COEXISTS_WITH,C0009566
C0297981,AFFECTS,C0007587
C0255808,ISA,C0597357
C1335623,AFFECTS,C0007587
C1335623,STIMULATES,C1516341
C1514758,CAUSES,C0007587
C0006826,PROCESS_OF,C0030705
C0027651,PROCESS_OF,C0030705
C3714514,PROCESS_OF,C0030705
C0036690,PROCESS_OF,C1516213
C0039082,PROCESS_OF,C1516213
C1516213,LOCATION_OF,NA
C0002873,PROCESS_OF,C0030705
NA,PART_OF,C0030705
C0014819,PROCESS_OF,C0030705
C0039082,PROCESS_OF,C0030705
C0039082,AFFECTS,C1516213
C0006826,PART_OF,C2700280
C0445623,CAUSES,C0036690
C0445625,LOCATION_OF,C0074992
C0007561,ISA,C1136254
C1764827,PART_OF,C0001699
C0007113,PROCESS_OF,C0030705
C2744535,ASSOCIATED_WITH,C0007113
C1515089,TREATS,C0030705
C0009566,PROCESS_OF,C0030705
C0012634,PROCESS_OF,C0030705
C0004623,PROCESS_OF,C0030705
C2744535,ASSOCIATED_WITH,C0004623
C0001699,ISA,C0004611
C0035648,PROCESS_OF,C0030705
C3272283,PROCESS_OF,C0030705
C1328050,TREATS,C0376545
C1328050,compared_with,C1504389
C1504389,TREATS,C0376545
C0184661,TREATS,C0018939
C0018704,LOCATION_OF,C0936012
C0015967,ASSOCIATED_WITH,C0009450
C0015967,PROCESS_OF,C0030705
C0040808,USES,C0009653
C1504389,ISA,C0184661
C0004610,PROCESS_OF,C0085470
C0035648,PROCESS_OF,C1516213
C0085470,CAUSES,C3714514
C3714514,PROCESS_OF,C0021289
C0685938,PROCESS_OF,C0030705
C0004610,PROCESS_OF,C2960635
C0022729,PROCESS_OF,C0030705
C0587491,LOCATION_OF,C0035363
C0015230,PROCESS_OF,C0025266
C0036690,PROCESS_OF,C0025266
C0015230,COEXISTS_WITH,C0030193
C0013216,USES,C0010927
C0035150,PROCESS_OF,C0027362
C0011065,PROCESS_OF,C0043210
C0019994,LOCATION_OF,C2603343
C0011847,CAUSES,C0011065
C0036690,CAUSES,C0011065
C0038454,CAUSES,C0011065
C0006826,PROCESS_OF,C0870668
C0742006,OCCURS_IN,C0870668
C0022885,USES,C0667477
C0179740,TREATS,C0030705
C0003232,PREDISPOSES,C0742006
C0013216,PREDISPOSES,C0742006
C0013216,USES,C0179740
